Country,Tier
St. Lucia,Upper Middle Income
St. Vincent and the Grenadines,Upper Middle Income
Suriname,Upper Middle Income
Thailand,Upper Middle Income
Tonga,Upper Middle Income
Tunisia,Upper Middle Income
Turkey,Upper Middle Income
Turkmenistan,Upper Middle Income
Tuvalu,Upper Middle Income
"Venezuela, RB",Upper Middle Income
Andorra,High Income
Antigua and Barbuda,High Income
Aruba,High Income
Australia,High Income
Austria,High Income
"Bahamas, The",High Income
Bahrain,High Income
Barbados,High Income
Belgium,High Income
Bermuda,High Income
Brunei Darussalam,High Income
Canada,High Income
Cayman Islands,High Income
Channel Islands,High Income
Chile,High Income
Croatia,High Income
Curaçao,High Income
Cyprus,High Income
Czech Republic,High Income
Denmark,High Income
Estonia,High Income
Equatorial Guinea,High Income
Faeroe Islands,High Income
Finland,High Income
France,High Income
French Polynesia,High Income
Germany,High Income
Greece,High Income
Greenland,High Income
,High Income
Guam,High Income
"Hong Kong SAR, China",High Income
Iceland,High Income
Ireland,High Income
Isle of Man,High Income
Israel,High Income
Italy,High Income
Japan,High Income
"Korea, Rep.",High Income
Kuwait,High Income
Latvia,High Income
Liechtenstein,High Income
Lithuania,High Income
Luxembourg,High Income
"Macao SAR, China",High Income
Malta,High Income
Monaco,High Income
Netherlands,High Income
New Caledonia,High Income
New Zealand,High Income
Northern Mariana Islands,High Income
Norway,High Income
Oman,High Income
Poland,High Income
Portugal,High Income
Puerto Rico,High Income
Qatar,High Income
Russian Federation,High Income
San Marino,High Income
Saudi Arabia,High Income
Singapore,High Income
Sint Maarten,High Income
Slovak Republic,High Income
Slovenia,High Income
Spain,High Income
St. Kitts and Nevis,High Income
St. Martin,High Income
Sweden,High Income
Switzerland,High Income
Trinidad and Tobago,High Income
Turks and Caicos Islands,High Income
United Arab Emirates,High Income
United Kingdom,High Income
United States,High Income
Uruguay,High Income
Virgin Islands (U.S.),High Income
